File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
F:\papter datasets\Dynamic DPI sample\C++\SampleElementAnimation.cpp,CSampleElementAnimation::~CSampleElementAnimation(void),1,1,1,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleElementAnimation.cpp,"CSampleElementAnimation::CSampleElementAnimation(CSampleElementBase* element, shared_ptr<CLinearEaseInOutAnimation> animation)",3,3,3,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleElementAnimation.cpp,CSampleElementAnimation::Tick(),12,10,6,2,2,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleElementAnimation.cpp,CSampleElementAnimation::Tick(int val),7,6,4,1,1,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleElementAnimation.cpp,CSampleElementAnimation::IsComplete(),2,2,2,1,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleElementAnimation.cpp,"CSampleElementAnimation::SetSetter(function<void (float,int)> val)",2,2,2,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleElementBase.cpp,"CSampleElementBase::CSampleElementBase(float left, float top)",3,3,3,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleElementBase.cpp,"CSampleElementBase::CSampleElementBase(float left, float top, float width, float height)",5,5,5,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleElementBase.cpp,CSampleElementBase::~CSampleElementBase(void),3,3,3,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleElementBase.cpp,CSampleElementBase::DoDraw(),5,5,2,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleElementBase.cpp,CSampleElementBase::CreateDeviceIndependentResources(const std::shared_ptr<DeviceResources>& deviceResources),2,2,2,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleElementBase.cpp,CSampleElementBase::ReleaseDeviceIndependentResources(),1,1,1,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleElementBase.cpp,CSampleElementBase::CreateDeviceResources(),2,2,2,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleElementBase.cpp,CSampleElementBase::ReleaseDeviceResources(),2,2,2,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleElementBase.cpp,"CSampleElementBase::SetPosition(float left, float top)",3,3,3,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleElementBase.cpp,CSampleElementBase::GetWidth(),2,2,2,1,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleElementBase.cpp,CSampleElementBase::GetHeight(),2,2,2,1,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleElementTextBlock.cpp,"CSampleElementTextBlock::CSampleElementTextBlock(float left, float top, float width, float height, float fontSize)",2,2,2,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleElementTextBlock.cpp,CSampleElementTextBlock::CSampleElementTextBlock(void),1,1,1,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleElementTextBlock.cpp,CSampleElementTextBlock::~CSampleElementTextBlock(void),2,2,2,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleElementTextBlock.cpp,CSampleElementTextBlock::DoDraw(),9,9,4,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleElementTextBlock.cpp,CSampleElementTextBlock::CreateDeviceResources(),3,3,3,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleElementTextBlock.cpp,CSampleElementTextBlock::ReleaseDeviceResources(),3,3,3,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleElementTextBlock.cpp,CSampleElementTextBlock::SetText(wstring text),3,3,3,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleElementTextBlock.cpp,CSampleElementTextBlock::PrepareLayout(),32,30,6,2,2,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleEngine.cpp,CSampleEngine::CSampleEngine(),2,2,2,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleEngine.cpp,CSampleEngine::~CSampleEngine(),4,4,4,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleEngine.cpp,CSampleEngine::ReleaseElementResources(),6,6,5,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleEngine.cpp,CSampleEngine::Init(),1,1,1,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleEngine.cpp,CSampleEngine::Update(),1,1,1,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleEngine.cpp,CSampleEngine::CreateElement(),3,3,3,1,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleEngine.cpp,CSampleEngine::AddElement(SPSampleElementBase element),4,4,4,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleEngine.cpp,CSampleEngine::Draw(),23,18,15,1,5,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleEngine.cpp,"CSampleEngine::FindElement(float x, float y)",16,16,12,4,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleEngine.cpp,CSampleEngine::GetPointerX(),2,2,2,1,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleEngine.cpp,CSampleEngine::GetPointerY(),2,2,2,1,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleEngine.cpp,"CSampleEngine::PointerDown(float x, float y)",6,6,4,1,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleEngine.cpp,"CSampleEngine::PointerUpdate(float x, float y)",21,18,12,3,3,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleEngine.cpp,"CSampleEngine::PointerUp(float x, float y)",6,6,4,1,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleEngine.cpp,CSampleEngine::CreateDeviceIndependentResources(const std::shared_ptr<DeviceResources>& deviceResources),9,9,7,1,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleEngine.cpp,CSampleEngine::ReleaseDeviceIndependentResources(),11,11,7,2,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleEngine.cpp,CSampleEngine::CreateDeviceResources(),8,8,6,1,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleEngine.cpp,CSampleEngine::ReleaseDeviceResources(),11,11,7,2,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleHoverElement.cpp,CSampleHoverElement::CSampleHoverElement(void),1,1,1,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleHoverElement.cpp,"CSampleHoverElement::CSampleHoverElement(float left, float top, float width, float height)",1,1,1,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleHoverElement.cpp,CSampleHoverElement::~CSampleHoverElement(void),2,2,2,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleHoverElement.cpp,CSampleHoverElement::OnPointerEnter(),12,11,8,1,1,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleHoverElement.cpp,CSampleHoverElement::SetHoverAlpha(float alpha),2,2,2,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleHoverElement.cpp,CSampleHoverElement::OnPointerLeave(),16,16,11,1,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleHoverElement.cpp,CSampleHoverElement::CreateDeviceResources(),2,2,2,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleHoverElement.cpp,CSampleHoverElement::ReleaseDeviceResources(),2,2,2,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleHoverElement.cpp,CSampleHoverElement::DoDraw(),6,5,5,0,1,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleHoverElement.cpp,CSampleHoverElement::Tick(),9,9,5,2,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleMultiDpiImage.cpp,CSampleMultiDPIImage::CSampleMultiDPIImage(),1,1,1,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleMultiDpiImage.cpp,"CSampleMultiDPIImage::CSampleMultiDPIImage(float left, float top)",1,1,1,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleMultiDpiImage.cpp,CSampleMultiDPIImage::~CSampleMultiDPIImage(void),3,3,3,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleMultiDpiImage.cpp,CSampleMultiDPIImage::DoDraw(),44,37,18,6,7,2,0,7,
F:\papter datasets\Dynamic DPI sample\C++\SampleMultiDpiImage.cpp,CSampleMultiDPIImage::LoadImage(std::wstring name),40,34,15,2,6,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleMultiDpiImage.cpp,CSampleMultiDPIImage::CreateDeviceIndependentResources(const std::shared_ptr<DeviceResources>& deviceResources),25,19,19,0,6,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleMultiDpiImage.cpp,CSampleMultiDPIImage::CreateDeviceResources(),42,38,10,4,4,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleMultiDpiImage.cpp,CSampleMultiDPIImage::ReleaseDeviceResources(),5,5,5,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleMultiDpiImage.cpp,CSampleMultiDPIImage::GetWidth(),2,2,2,1,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleRichEditControl.cpp,CSampleRichEditWindow::CSampleRichEditWindow(),1,1,1,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleRichEditControl.cpp,CSampleRichEditWindow::~CSampleRichEditWindow(),12,11,7,2,1,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleRichEditControl.cpp,CSampleRichEditWindow::Initialize( _In_ HWND parentHWD ),87,66,28,12,11,6,10,111,
F:\papter datasets\Dynamic DPI sample\C++\SampleRichEditControl.cpp,"CSampleRichEditWindow::Position( _In_ UINT x, _In_ UINT y, _In_ UINT Width, _In_ UINT Height )",17,14,7,2,2,6,1,35,
F:\papter datasets\Dynamic DPI sample\C++\SampleRichEditControl.cpp,CSampleRichEditWindow::PositionRelativeToRect( _In_ RECT relativeRect ),22,16,16,1,3,4,3,46,
